id,title,price,discount,thumbnail,description,category_id,url,discount_rate,brand,quantity_sold,timestamp
273825296,Sữa Tắm Selsun Fungi Shower 150 ml (Tặng kèm 01 Hộp 6 gói dầu gội chống gàu Selsun 5ml),139000,101000,https://salt.tikicdn.com/ts/product/a4/57/9b/3247c0c49e2460e42634c82b97dc46da.jpg,"Sữa tắm Selsun Fungi Shower 150 mlSữa tắm Selsun fungi shower – Làm sạch và kháng khuẩn với Miconazole Nitrate là thành phần có tính kháng nấm, nếu dùng ở liều lượng phù hợp trong mỹ phẩm sẽ giúp hỗ ...",6,https://tiki.vn/product-p273825296.html?spid=273825300,27,Selsun,9,5/11/2024 13:05
198341164,"Sữa rửa mặt cho nam Oxy sạch tế bào chết, giảm mụn đầu đen, dạng kem Oxy Anti-Blackhead Wash 100g",86000,69000,https://salt.tikicdn.com/ts/product/e6/6f/a5/6a5ad76c4a8031214996ea4c1605d9cd.jpg,"Kem rửa mặt sạch tế bào chết giảm mụn đầu đen Oxy Anti-Blackhead Wash 100gThông tin sản phẩm:1. Thành phần sản phẩm:Sữa rửa mặt cho nam Oxy Anti-Blackhead Wash chứa Carbon (Than vỏ trấu), Gluconola...",6,https://tiki.vn/product-p198341164.html?spid=198341166,20,OXY,1972,5/11/2024 13:05
1313871,"Kem chống nắng Sunplay cực mạnh dạng sữa Sunplay Super Block SPF 81, PA++++ 30g",103000,92000,https://salt.tikicdn.com/ts/product/ff/c9/61/60a65378dccb51db6f1e45d3c5556cbf.jpg,"Sữa chống nắng Sunplay cực mạnh Sunplay Super Block SPF 81, PA++++ 30gKem chống nắng Sunplay Super Block dùng được cho mặt và toàn thân, thích hợp đi biển, bơi lội, du lịch, leo núi, thể thao. Sản ph...",6,https://tiki.vn/product-p1313871.html?spid=10862283,11,Sunplay,43181,5/11/2024 13:05
1313873,"Kem chống nắng Sunplay mát lạnh giải nhiệt dạng sữa Sunplay Super Cool SPF 50, PA++++ 30g",97000,87000,https://salt.tikicdn.com/ts/product/8b/59/d1/359298dcaf79fbf49bd5bec5f882c903.jpg,"Sữa chống nắng giải nhiệt da Sunplay Super Cool SPF50, PA++++ 30gKem chống nắng Sunplay Super Cool dùng được cho mặt và toàn thân khi vận động liên tục ngoài trời nắng nóng, giúp duy trì cảm giác mát...",6,https://tiki.vn/product-p1313873.html?spid=10862182,10,Sunplay,4388,5/11/2024 13:05
54058503,Sữa rửa mặt dưỡng trắng Hada Labo Perfect White Tranexamic Acid Cleanser 80g,93000,83000,https://salt.tikicdn.com/ts/product/99/52/6a/b06e8da7ac3cd590b2e8bb447850d84f.jpg,"Thành phần chính và công dụng:Sữa rửa mặt Hada Labo dưỡng trắng với công dụng làm sạch bụi bẩn, bã nhờn ẩn sâu trong lỗ chân lông và tế bào chết trên da giúp sáng da và giảm thâm sau 7 ngày- Bọt kem...",6,https://tiki.vn/product-p54058503.html?spid=54058504,11,Hada Labo,22367,5/11/2024 13:05
632680,"Dầu gội Selsun chống gàu, sạch gàu & hết ngứa da đầu Selsun Anti-Dandruff Shampoo 100ml",99000,84000,https://salt.tikicdn.com/ts/product/7f/f3/28/6039ff72ce253f0363eab64eed328959.jpg,Dầu gội chống gàu Selsun 100mlDầu gội thông thường sẽ không giúp bạn giải quyết được nguyên nhân gây gàu - vi nấm Malassezia một cách hiệu quả. Thứ bạn cần là sản phẩm có thành phần chuyên biệt như S...,6,https://tiki.vn/product-p632680.html?spid=10862721,15,Selsun,21751,5/11/2024 13:05
1634981,"Giấy thấm dầu kiểm soát nhờn, ngừa mụn Acnes Oil Remover Paper 100 tờ",33000,30000,https://salt.tikicdn.com/ts/product/16/af/b7/7b5684c529b2353e419885e7a5069b46.jpg,"Giấy thấm dầu Acnes Oil Remover Paper (100 tờ)Giấy thấm dầu kiểm soát nhờn, ngừa mụn Acnes Oil Remover Paper 100 tờ được nghiên cứu và phát triển giúp thấm hút chất nhờn dư hiệu quả, phù hợp cho mọi ...",6,https://tiki.vn/product-p1634981.html?spid=10862722,9,Acnes,87685,5/11/2024 13:05
5902685,"Sữa rửa mặt vitamin làm sáng da, mờ sẹo thâm dạng kem Acnes Vitamin Cleanser 100g",70000,61000,https://salt.tikicdn.com/ts/product/b3/c7/f4/34840aa3c5b0e1f7ee6eddc54712c660.jpg,"Kem rửa mặt vitamin Acnes Cleanser 100gSữa rửa mặt vitamin làm sáng da, mờ sẹo thâm dạng kem Acnes Vitamin Cleanser 100g là sản phẩm giúp hỗ trợ phục hồi làn da sau mụn đến từ thương hiệu Acnes. Khôn...",6,https://tiki.vn/product-p5902685.html?spid=10863053,13,Acnes,66395,5/11/2024 13:05
273598230,Máy Tăm Nước Không Dây LocknLock Cordless Oral Irrigator ,1263000,821000,https://salt.tikicdn.com/ts/product/14/30/51/1ea1a670dd4e1c98eab2bdf28d4f869e.jpg,Đặc điểm nổi bậtMáy Tăm Nước Không Dây LocknLock Cordless Oral Irrigator  gồm 4 chế độ hoạt động: Đáp ứng các nhu cầu chăm sóc răng miệng khác nhau.Đầu tăm xoay 360 °: Làm sạch răng miệng theo nhiề...,6,https://tiki.vn/product-p273598230.html?spid=82721612,35,LocknLock,10270,5/11/2024 13:05
6874429,Miếng dán mụn giúp giảm mụn sưng viêm Acnes Clear Patch (24 Miếng),60000,54000,https://salt.tikicdn.com/ts/product/70/bd/f1/6dc073b4d8b3d7311162200b1793a7e7.jpg,"Miếng dán mụn giúp Giảm Mụn Sưng Viêm Acnes Clear Patch mang lại 3 tác động nổi bật: GIẢM MỤN – BẢO VỆ – CHE PHỦ.Với độ dày chỉ 0,2 mm, miếng dán mụn giúp che phủ tự nhiên, đặc biệt là khi trang điểm ...",6,https://tiki.vn/product-p6874429.html?spid=10863062,10,Acnes,34915,5/11/2024 13:05
631034,Sữa rửa mặt dưỡng ẩm tối ưu Hada Labo Advanced Nourish Cleanser 80g,83000,72000,https://salt.tikicdn.com/ts/product/20/d4/40/2357fc6b381a8e01e977a15c017660bc.jpg,"Thành phần chính và công dụng:Kem rửa mặt Hada Labo dưỡng ẩm với công dụng làm sạch sâu cùng hệ dưỡng ẩm sâu giúp dưỡng da ẩm mượt, sáng mịn, tươi trẻ mỗi ngày- Bọt mịn nhẹ nhàng rửa sạch lớp tế bào...",6,https://tiki.vn/product-p631034.html?spid=10862753,13,Hada Labo,38868,5/11/2024 13:05
15520057,Tinh chất chống lão hóa Hada Labo Pro Anti Aging α Lifting Essence 30g,322000,289000,https://salt.tikicdn.com/ts/product/55/42/b6/9312bb985ac5115e933a0f28f63937ca.jpg,"THÔNG TIN SẢN PHẨMDấu hiệu lão hóa da thể hiện ở mỗi người khác nhau, thường thấy là nếp nhăn, da khô, thâm nám, da mất độ đàn hồi, chảy xệ, bong tróc. Dấu hiệu dễ nhận biết nhất là những nếp gấp trê...",6,https://tiki.vn/product-p15520057.html?spid=15520058,10,Hada Labo,2480,5/11/2024 13:05
22052319,Sữa rửa mặt cho nam Oxy sạch sâu giảm mụn kiểm soát nhờn dạng kem Oxy Total Anti Acne 100g,86000,69000,https://salt.tikicdn.com/ts/product/36/24/b1/bd1368b4b06731122d149182a6c94309.jpg,"Kem rửa mặt sạch khuẩn mụn kiểm soát nhờn OXY Total Anti Acne 100gThông tin sản phẩm:1. Thành phần sản phẩm:Sữa rửa mặt cho nam Oxy Total Anti Acne chứa Tinh chất Tràm trà & Trà xanh Uji, Pioni...",6,https://tiki.vn/product-p22052319.html?spid=22052320,20,OXY,6568,5/11/2024 13:05
116438272,Kem Dưỡng Cấp Nước Cho Da Hỗn Hợp Neutrogena Hydro Boost Water Gel,110000,93000,https://salt.tikicdn.com/ts/product/65/c0/dd/de278d65fd4656d625c8b7bba0e55bf8.jpg,Kem dưỡng ẩm cấp nước Neutrogena Hydro Boost Water gel mini 15g - 101035660Kem dưỡng cấp nước Neutrogena giúp bạn đạt được 5 điều kiện lý tưởng của một làn da khỏe mạnh:+ Đủ độ ẩm+ Mịn màng+ Săn chắc...,6,https://tiki.vn/product-p116438272.html?spid=79245451,15,Johnson's Baby,11733,5/11/2024 13:05
25108217,Sữa rửa mặt ngăn ngừa mụn Acnes Creamy Wash 100g,70000,61000,https://salt.tikicdn.com/ts/product/1b/61/10/ee68440d5e9927c327a740e57e869c45.jpg,"Sữa rửa mặt ngăn ngừa mụn Acnes Creamy Wash 100g là sản phẩm sữa rửa mặt được thương hiệu mỹ phẩm Acnes nghiên cứu và phát triển dành riêng cho da nhờn, da hỗn hợp thiên nhờn. Với kết cấu kem mịn và k...",6,https://tiki.vn/product-p25108217.html?spid=25108218,13,Acnes,38862,5/11/2024 13:05
68421547,Combo 2 Dầu gội Romano hương nước hoa 650g/chai,382000,382000,https://salt.tikicdn.com/ts/product/75/bb/42/cc790afdef6b8b62dd6ca1472c375ce1.jpg,"Bao bì sản phẩm có thể thay đổi theo thời gian- Công thức ngăn mồ hôi có bổ sung thành phần diệt khuẩn giúp khô thoáng vượt trội suốt 24h- Hương thơm độc đáo, nam tính- Làm sạch và làm mềm mượt tóc- ...",6,https://tiki.vn/product-p68421547.html?spid=68421551,0,Romano,22022,5/11/2024 13:05
193879341,"Gel bôi trơn Feelex Lubricant Cool mát lạnh, gấp đôi độ trơn - Lọ 250ml",99000,99000,https://salt.tikicdn.com/ts/product/4f/ae/c6/93d721902b8f247a96abc712d670ec3d.png,"THÔNG TIN SẢN PHẨM- Tên sản phẩm: Gel bôi trơn quan hệ Feelex Lubricant Performa Cool- Xuất xứ: Việt Nam- Công nghệ: Nhật Bản- Thành phần: 100% gel gốc nước- Quy cách đóng gói: 250ml, 50ml, 07ml...",6,https://tiki.vn/product-p193879341.html?spid=133587682,0,OZO,4820,5/11/2024 13:05
82721609,Máy Tăm Nước Không Dây LocknLock Cordless Oral Irrigator ENR156BLU - Màu Xanh Da Trời,1200000,679000,https://salt.tikicdn.com/ts/product/30/04/32/36b623726349bffd135e211b569c8a15.png,"Máy tăm nước không dây Lock&Lock Cordless Oral Irrigator 200ml - Màu xanh - ENR156BLUDung tích: 200mlMàu sắc: Xanh da trờiChất liệu:Nhựa ABS, nhựa PCKích thước: 65x85x205mmSản phẩm bao gồm: ...",6,https://tiki.vn/product-p82721609.html?spid=126231278,43,LocknLock,468,5/11/2024 13:05
630778,"Kem chống nắng Skin Aqua dưỡng trắng, kiểm dầu, dùng hàng ngày dạng sữa Sunplay Skin Aqua Clear White Eco Việt Nam SPF50, PA++++ 55g",219000,197000,https://salt.tikicdn.com/ts/product/a3/08/26/c9da3949ad43ce392baa1ef074380d51.jpg,"Sữa chống nắng hằng ngày dưỡng trắng cho da dầu Sunplay Skin Aqua Clear White SPF 50, PA++++ 55g (Eco Vietnam)Kem chống nắng Skin Aqua Clear White mang những đặc điểm vượt trội sau:- Công nghệ CHỐNG...",6,https://tiki.vn/product-p630778.html?spid=10862294,10,Sunplay,31608,5/11/2024 13:05
24250831,Kem dưỡng ẩm dành cho da lão hóa Dermaceutic Pháp - Regen Ceutic,1690000,1690000,https://salt.tikicdn.com/ts/product/82/79/31/a93fb289de2bb1beaf47a7f23bf53fca.jpg,"Regen Ceutic là sản phẩm mới nhất trong dòng sản phẩm phục hồi da của Dermaceutic. Regen Ceutic chứa Peptides Comples được biết đến với tên thương mại Matrixyl 3000, được chứng minh cực kỳ hiệu quả tr...",6,https://tiki.vn/product-p24250831.html?spid=24250832,0,Dermaceutic,24,5/11/2024 13:05
1313885,"Kem chống nắng Skin Aqua dưỡng trắng, kiểm dầu, dùng hàng ngày dạng sữa Sunplay Skin Aqua Clear White Eco Việt Nam SPF50, PA++++ 25g",125000,112000,https://salt.tikicdn.com/ts/product/97/60/7e/6aa711cee47c58565735353a9cb58dca.jpg,"Sữa chống nắng hằng ngày dưỡng trắng cho da dầu Sunplay Skin Aqua Clear White SPF 50, PA++++ 25g (Eco Vietnam)Kem chống nắng Skin Aqua Clear White mang những đặc điểm vượt trội sau:- Công nghệ CHỐNG...",6,https://tiki.vn/product-p1313885.html?spid=10861852,10,Sunplay,33797,5/11/2024 13:05
270688221,Nước nhỏ mắt giữ ẩm & bổ sung khoáng chất V.Rohto Mineral Tear 13ml,61700,61700,https://salt.tikicdn.com/ts/product/97/b8/cb/266c6a511cc0bf06eff720f55cef6614.jpg,"Dung dịch nhỏ mắt giữ ẩm và bổ sung khoáng chất V.Rohto Mineral Tear1. Thành phần và công dụng:- Bổ sung khoáng chất và nước mắt nhân tạo giúp giữ ẩm, làm dịu mắt khô.- Hỗ trợ sự trao đổi chất ở bi...",6,https://tiki.vn/product-p270688221.html,0,Rohto,0,5/11/2024 13:05
158399593,"[CHÍNH HÃNG] Một thùng 300 CÁI khẩu trang 4 lớp KF94 kháng khuẩn, chống bụi mịn, công nghệ 4D Hàn Quốc",320000,210000,https://salt.tikicdn.com/ts/product/55/21/ea/199f0df9d10f8616459c04ec9ee6e505.jpg,- Sản xuất tại Việt Nam theo công nghệ 4D và chuẩn KF94 Hàn Quốc.- Dòng sản phẩm khẩu trang y tế cách tân hiện đại hơn với khoang chắn trước mũi được đẩy ra phía trước tạo khoảng khí dễ thở hơn.- Đặ...,6,https://tiki.vn/product-p158399593.html?spid=158399594,34,4 You Face Mask,8106,5/11/2024 13:05
121485346,Bàn Chải Điện P/S S100 PRO Trắng Răng Công Nghệ Sóng Âm Đen Nhám Chải Sạch Mảng Bám Tới 10X 1 Bộ,799000,799000,https://salt.tikicdn.com/ts/product/78/12/92/fb6e484220dc56e987240f9031b8a040.jpg,"Bàn chải điện P/S S100 PRO sử dụng công nghệ sóng âm Sonic giúp làm sạch mảng bám tới 10 lần so với bàn chải thông thường.Bộ sản phẩm bao gồm: 01 thân bàn chải điện, 02 đầu chải, 01 bộ sạc USBĐặc ...",6,https://tiki.vn/product-p121485346.html,0,P/S,0,5/11/2024 13:05
87913382,"Tinh Dầu Xông Phòng Nguyên Chất, Tự Chọn Mùi | Chính Hãng, Có Kiểm Định Chất Lượng | Tinh Dầu TIDAMO Xông Thơm Phòng, Khử Khuẩn, Bảo Vệ Sức Khỏe và Đuổi Muỗi",76000,38000,https://salt.tikicdn.com/ts/product/a6/bf/f0/1e7438492c611d63a8eea951ef50b4e5.jpg,"Nhiều loại Tinh Dầu Nguyên Chất, Quý khách tự chọn loại tinh dầu yêu thíchTinh dầu chính hãng TIDAMO - Tinh Dầu Số 1, nhập khẩu Ấn ĐộCó Kiểm Định Chất Lượng bởi trung tâm kiểm nghiệm TP.HCM QUATEST3...",6,https://tiki.vn/product-p87913382.html?spid=90113630,50,TIDAMO Tinh Dầu Số 1,13042,5/11/2024 13:05
1672157,Bao cao su Durex Invisible Extra Thin Extra Sensitive 1 Hộp 10 Bao,317000,209000,https://salt.tikicdn.com/media/catalog/producttmp/47/3f/fe/d2bf86f38da79c5ddfdce7de381230d0.jpg,"Bao Cao Su Durex Invisible Extra Sensitive là sản phẩm đạt tiêu chuẩn chất lượng quốc tế, an toàn và hiệu quả, nhằm đáp ứng những yêu cầu và điều kiện sản xuất khắt khe dành cho sản phẩm nhạy c...",6,https://tiki.vn/product-p1672157.html?spid=1115608,34,Durex,28058,5/11/2024 13:05
460943,Bộ Đôi Nước Súc Miệng Hương Bạc Hà Listerine Cool Mint (750ml/ Chai) - 8850007800071,159000,159000,https://salt.tikicdn.com/ts/product/9e/db/a8/a1ff4f70b71049c28752612f6d0487e0.jpg,Bộ Đôi Nước Súc Miệng Hương Bạc Hà Listerine Cool Mint (750ml/ Chai) giúp bảo vệ răng miệng toàn diện hơn với thành phần Sodium Flouride cho răng chắc khỏe. Đồng thời chiết xuất bạc hà the mát vừa giú...,6,https://tiki.vn/product-p460943.html?spid=68554120,0,LISTERINE,376,5/11/2024 13:05
66640235,Combo Dove Phục Hồi Hư Tổn Dầu Gội 640g + Kem Xả 610g,340000,282000,https://salt.tikicdn.com/ts/product/7b/fa/54/c8a8ab9d53ebaeed1c60d0a2740e9be9.jpg,Combo Dove Phục Hồi Hư Tổn Dầu Gội 640g + Kem Xả 610g Sở Hữu Mái Tóc Suôn Mượt Khỏa Đẹp Cùng Dove Phục Hồi Hư Tổn Dove luôn quan tâm đến các giải pháp chuyên biệt vượt trội để nuôi dưỡng tóc. Chú...,6,https://tiki.vn/product-p66640235.html?spid=66640236,17,Dove,34851,5/11/2024 13:05
46179013,"Máy Massage Cầm Tay KINGTECH KH-320 - 6 Cấp Độ, Hỗ Trợ Mát Xa Chuyên Sâu, Giảm Đau Cơ, Cứng Khớp - Quà Tặng Cho Sức Khỏe",950000,550000,https://salt.tikicdn.com/ts/product/9c/a8/fe/13348b3938e72797b940b9d1742c3b93.jpg,"Tại KINGTECH, chúng tôi cung cấp cho mọi khách hàng của mình những sản phẩm chăm sóc sức khỏe TỐT NHẤT. Chúng tôi đang và sẽ làm việc chăm chỉ để đảm bảo rằng mỗi sản phẩm của chúng tôi luôn được bạn...",6,https://tiki.vn/product-p46179013.html?spid=46179015,42,KINGTECH,6619,5/11/2024 13:05
767101,Bao cao su Durex Kingtex 12 bao,196000,113000,https://salt.tikicdn.com/media/catalog/producttmp/d3/36/3e/6f9e83f2f25f1196858fe3c78e86b186.jpg,"Durex là thương hiệu bao cao su nổi tiếng thế giới với hơn 90 năm kinh nghiệm cùng những sản phẩm chất lượng cao, được tin dùng bởi hàng triệu ngườiBao Cao Su Durex Kingtex (12 Cái / Hộp) với thiết k...",6,https://tiki.vn/product-p767101.html?spid=1115606,42,Durex,36910,5/11/2024 13:05
1672153,Bao cao su Durex Performa 12 bao,308000,212000,https://salt.tikicdn.com/media/catalog/producttmp/b1/27/59/dd929396a3a58056da5a1d52ed047e78.jpg,"Durex là thương hiệu bao cao su nổi tiếng thế giới với hơn 90 năm kinh nghiệm cùng những sản phẩm chất lượng cao, được tin dùng bởi hàng triệu người.Bao Cao Su Durex Performa 12S 278230 (12 Cái / Hộp)...",6,https://tiki.vn/product-p1672153.html?spid=85611,31,Durex,24853,5/11/2024 13:05
169246554,(Vải tốt) Thùng 300 cái Khẩu Trang KF94 4D SKY MASK Hàn Quốc - Chống Bụi Mịn Và Kháng Khuẩn (Chọn màu),205000,205000,https://salt.tikicdn.com/ts/product/69/6b/b7/1bc89b02c3862937f0c5e9782563d6dd.jpg,Khẩu Trang 4D SKY MASK KF94 Hàn Quốc Chống Bụi Mịn Và Kháng Khuẩn (10 cái/bịch thùng 300c)CHỨNG NHẬN SẢN PHẨM KHẨU TRANG SKY MASK KF94- GIẤY ĐĂNG KÝ KD- HỒ SƠ CHỨNG NHẬN VỀ PHẨM CHẤT- CHỨNG NHẬN H...,6,https://tiki.vn/product-p169246554.html?spid=248400686,0,SKY MASK,3473,5/11/2024 13:05
111292323,Sữa Tắm Lifebuoy Detox Và Sạch Sâu Khỏi Bụi Mịn Pm2.5 Và Vi Khuẩn Tràm Trà Muối Hồng 100% Từ Thiên Nhiên Chai 800G,149000,149000,https://salt.tikicdn.com/ts/product/49/5e/38/44aef4a7ade600a81a2793407ac33a9c.JPG,"Hằng ngày làn da của chúng ta phải tiếp xúc với vô số bụi bẩn ô nhiễm và vi khuẩn, đặc biệt là bụi siêu mịn PM2.5Công thức với 2 thành phần 100% từ thiên nhiên, gồm Matcha chống oxy hóa và Khổ qua d...",6,https://tiki.vn/product-p111292323.html?spid=174183599,0,Lifebuoy,68,5/11/2024 13:05
190489303,"Khẩu trang KF94 - 4D trẻ em, từ 3 đến 11 tuổi, nhiều họa tiết, kháng virus dễ thở, không đau tai",8000,8000,https://salt.tikicdn.com/ts/product/72/0d/84/6fe4a5fdf2c40a079e4ee5bd79a82e41.jpg,"CAM KẾT BÁN HÀNGCUSTOMER IS KING:FREESHIP khi đạt giá trị đơn hàng tối thiểuĐược kiểm tra hàng trước khi thanh toánĐược đổi trả, hoàn hàng, trả hàng hoàn tiền nếu lỗi do nhà bánĐội ngũ nhân sự ...",6,https://tiki.vn/product-p190489303.html?spid=190489315,0,An Tâm,2335,5/11/2024 13:05
74450527,Máy Xông Tinh Dầu Cao Cấp Tặng 3 Chai Tinh Dầu Sả Chanh + Bạc Hà + Quế. Máy Khuếch Tán Tinh Dầu Có Remote Điều Khiển Từ Xa Chuyên Dụng Xông Tinh Dầu,596000,298000,https://salt.tikicdn.com/ts/product/6b/ad/bd/62cf0954806cb556d7040181ce1cdc1e.jpg,Máy Xông Tinh Dầu Cao Cấp Tặng 3 Chai Tinh Dầu Sả Chanh + Bạc Hà + Quế. Máy Khuếch Tán Tinh Dầu Có Remote Điều Khiển Từ Xa Chuyên Dụng Xông Tinh DầuAuto hẹn giờ tự tắt. Điều khiển từ xa bằng Remote T...,6,https://tiki.vn/product-p74450527.html?spid=74450529,50,TIDAMO Tinh Dầu Số 1,5187,5/11/2024 13:05
121485349,"[Nhập Coupon giảm ngay 50K]Bàn Chải Điện P/S S100 PRO - Công Nghệ Sóng Âm, Chải Sạch Mảng Bám Tới 10X - Trắng Sáng",769000,769000,https://salt.tikicdn.com/ts/product/ed/1c/00/37cba78c7bd42de47512ed627cf629e6.jpg,"Bàn chải điện P/S S100 PRO sử dụng công nghệ sóng âm Sonic giúp làm sạch mảng bám tới 10 lần so với bàn chải thông thường. Bộ sản phẩm bao gồm: 01 thân bàn chải điện, 02 đầu chải, 01 bộ sạc USBĐặc...",6,https://tiki.vn/product-p121485349.html,0,P/S,0,5/11/2024 13:05
796867,Bao cao su Durex Invisible Extra Thin Extra Sensitive 1 Hộp 3 Bao,95000,79900,https://salt.tikicdn.com/media/catalog/producttmp/ab/ed/a7/15482bac1c87778235809b3da19edfc3.jpg,"Bao Cao Su Durex Invisible 3S là sản phẩm đạt tiêu chuẩn chất lượng quốc tế, an toàn và hiệu quả, nhằm đáp ứng những yêu cầu và điều kiện sản xuất khắt khe dành cho sản phẩm nhạy cảm.Sản phẩm được s...",6,https://tiki.vn/product-p796867.html?spid=1115610,16,Durex,6922,5/11/2024 13:05
15795542,Sữa Tắm Trắng Da Giữ Ẩm Hatomugi Nhật Bản 800ml,119700,79000,https://salt.tikicdn.com/ts/product/48/58/f4/871f68d0b9335326410141c1b8bd995c.png,"Sữa tắm trắng da Hatomugi với thành phần được chiết xuất từ hạt Coix (hạt ý dĩ) chứa nhiều axit béo cùng nhiều dưỡng chất quan trọng khác như: vitamin E, B1, B12 để giúp làm sạch da, giúp nuôi dưỡng l...",6,https://tiki.vn/product-p15795542.html?spid=44328282,34,Hatomugi,4991,5/11/2024 13:05
168562118,Dung Dịch Vệ Sinh Nam X2 Manly - Làm sạch tức thì Lưu hương 24h dung tích 150g Cocayhoala,250000,250000,https://salt.tikicdn.com/ts/product/9e/56/8a/bc1051c0ebf57aa97af66929d04e0b61.jpg,"X2 MANLY - LÀM GÌ CŨNG MẠNHDung Dịch Vệ Sinh Nam X2 Manly - Làm gì cũng mạnh5 Ưu điểm vượt trội của Dung Dịch Vệ Sinh Nam X2 Manly- Sạch sâu chỉ sau 9 giây- Hương thơm nam tính, quyến rũ phái nữ- K....",6,https://tiki.vn/product-p168562118.html?spid=178586153,0,COCAYHOALA,17,5/11/2024 13:05
632681,Dầu xả Selsun dưỡng tóc dành cho tóc gàu Selsun Anti-Dandruff Conditioner 100ml,55000,55000,https://salt.tikicdn.com/media/catalog/product/1/r/1rmv-s-c.u4064.d20170504.t115122.31041.jpg, Dầu Xả Dưỡng Tóc Selsun (100ml) là giải pháp chăm sóc tóc hiệu quả sau một ngày dài tiếp xúc với khói bụi ô nhiễm và nắng nóng. Sản phẩm có sự kết hợp hoàn hảo giữa nhiều thành phần dưỡng tóc giúp d...,6,https://tiki.vn/product-p632681.html,0,Selsun,0,5/11/2024 13:05
78280482,Bộ 2 Chai Nước Súc Miệng Listerine Giúp Hơi Thở Thơm Mát Cool Mint Zero Alcohol 750mlx2,338000,261000,https://salt.tikicdn.com/ts/product/c1/02/2e/999df9fddff2e11bde35c4981eb918d9.jpg,"Better For The Planet! Tất cả sản phẩm LISTERINE nay đã được chuyển đổi hoàn toàn thành BAO BÌ TÁI CHẾ & AN TOÀN CHO DÒNG NƯỚC, sự cải tiến ra đời vì mục tiêu chung bảo vệ hành tinh, khuyến khích...",6,https://tiki.vn/product-p78280482.html?spid=78280483,23,LISTERINE,2003,5/11/2024 13:05
57243183,Máy Tăm Nước Vệ Sinh Răng Miệng Xiaomi Mijia MEO701 - Hàng Nhập Khẩu,990000,649000,https://salt.tikicdn.com/ts/product/a3/15/b8/a37074509ca036eb0f4e16fcb9578ecc.jpg,Tăm Nước Vệ Sinh Răng Miệng Xiaomi Mijia MEO701Thông số kỹ thuật:• Nhãn hiệu: Xiaomi Mijia• Model: MEO701• Vật chất: nhựa ABS• Điện áp định mức 3.7V• Công suất định mức: 12W• Đầu vào: 5V 1A• C...,6,https://tiki.vn/product-p57243183.html?spid=73095157,34,Xiaomi,1649,5/11/2024 13:05
55915384,Nước hoa hồng không chứa cồn Neutrogena Alcohol Free Toner 150ml ,133000,114000,https://salt.tikicdn.com/ts/product/36/54/dd/8da1f1e29374b4697eab4c24edd8c69a.jpg,"Công thức dịu nhẹ, không chứa cồn, chăm sóc, dưỡng ẩm và làm da bạn mịn màng tươi sáng.Làm sạch nhẹ nhàng, giảm thiểu bụi bẩn và cải thiện làn da. Là sản phẩm không chứa cồn, do đó làn da của bạn sẽ k...",6,https://tiki.vn/product-p55915384.html?spid=55915385,14,Neutrogena,2652,5/11/2024 13:05
2042227,Bao cao su Durex Invisible Extra Thin Extra Lubricated 1 Hộp 10 Bao,317000,229000,https://salt.tikicdn.com/media/catalog/producttmp/36/48/d5/34042800e2d7ac31acd35f6b5d6969d9.jpg,Bao cao su Durex Invisible Extra Thin Extra Lubricated được thiết kế siêu mỏng nhưng vẫn giữ độ bảo vệ và tính an toàn cao.Thiết kế siêu mỏng so với bao cao su tiêu chuẩn của Durex nhưng ...,6,https://tiki.vn/product-p2042227.html?spid=90597869,28,Durex,7855,5/11/2024 13:05
54640942,Khẩu Trang Y Tế TDCare 4 Lớp-Màu Trắng-Hộp 50 Cái,48000,30000,https://salt.tikicdn.com/ts/product/37/5c/3a/d8387709dd5bdaaf6e1191acd7758e0d.jpg,"Thành phần: bao gồm 4 lớp vải kháng khuẩn cao cấp 100%PP (polypropylene) màu trắng .Lớp vải PP mặt ngoài bóng mịn, có đặc tính chống thấm, giúp ngăn cản hiệu quả các hạt chất lỏng văng ra khi người b...",6,https://tiki.vn/product-p54640942.html?spid=54640943,38,TDCare,26456,5/11/2024 13:05
73638938,"Tinh Dầu Xông Phòng Sả Chanh 100ML Nguyên Chất Nhập Khẩu - Tinh dầu Sả Chanh Giúp Bảo Vệ Sức Khỏe, Kháng Khuẩn, Đuổi Muỗi Và Thư Giãn Tinh Thần",396000,198000,https://salt.tikicdn.com/ts/product/2c/26/08/6f5bbb753288f8ca378dc7589c81f1c5.jpg,"Tinh Dầu Xông Phòng Sả Chanh 100ML Nguyên Chất Nhập Khẩu - Tinh dầu Sả Chanh Giúp Bảo Vệ Sức Khỏe, Kháng Khuẩn, Đuổi Muỗi Và Thư Giãn Tinh ThầnGiảm mệt mỏi, phấn chấn tinh thần, thư giãn cơ thểThanh ...",6,https://tiki.vn/product-p73638938.html?spid=73638939,50,TIDAMO Tinh Dầu Số 1,3132,5/11/2024 13:05
